% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.201214	7	44	0	6.74803e-06	1.42261e+10	0
0.201214	7	50	0	4.05142e-10	854115	0
0.201214	8	16	0	2.51474e-10	530154	0
0.201214	8	17	0	1.70243e-09	3.58904e+06	0
0.201214	8	43	0	6.74803e-06	1.42261e+10	0
0.201214	9	20	0	9.03617e-10	1.90499e+06	0
0.201214	10	36	0	5.13944e-10	1.08349e+06	0
0.201214	10	38	0	4.95147e-10	1.04386e+06	0
0.201214	10	45	0	6.74803e-06	1.42261e+10	0
0.201214	11	46	0	6.74803e-06	1.42261e+10	0
0.201214	11	57	0	7.28549e-10	1.53592e+06	0
0.201214	12	47	0	6.74803e-06	1.42261e+10	0
0.201214	13	22	0	2.7002e-10	569252	0
0.201214	13	48	0	6.74803e-06	1.42261e+10	0
0.202214	1	2	0	3.40862e-10	718600	0
0.202214	1	5	0	4.02098e-10	847697	0
0.202214	2	35	0	4.7164e-10	994304	0
0.202214	2	37	0	5.59847e-10	1.18026e+06	0
0.202214	2	39	0	3.63842e-10	767045	0
0.202214	3	1	0	4.61741e-10	973435	0
0.202214	3	3	0	3.82281e-10	805918	0
0.202214	3	7	0	3.80542e-10	802254	0
0.202214	3	8	0	6.55095e-10	1.38106e+06	0
0.202214	3	9	0	4.98243e-10	1.05039e+06	0
0.202214	3	10	0	3.00059e-10	632580	0
0.202214	3	13	0	3.70747e-10	781604	0
0.202214	3	14	0	4.05627e-10	855137	0
0.202214	3	15	0	4.34232e-10	915441	0
0.202214	3	25	0	3.00155e-10	632782	0
0.202214	3	26	0	3.21627e-10	678048	0
0.202214	3	27	0	3.25272e-10	685734	0
0.202214	3	28	0	3.96197e-10	835256	0
0.202214	3	31	0	4.14192e-10	873192	0
0.202214	3	32	0	4.35272e-10	917635	0
0.202214	3	33	0	3.38014e-10	712596	0
0.202214	3	34	0	3.58033e-10	754801	0
0.202214	3	40	0	2.74033e-10	577713	0
0.202214	3	49	0	4.76199e-10	1.00392e+06	0
0.202214	3	52	0	2.43083e-10	512464	0
0.202214	3	53	0	3.68387e-10	776628	0
0.202214	3	54	0	4.4159e-10	930953	0
0.202214	3	55	0	3.14263e-10	662525	0
0.202214	3	56	0	3.22992e-10	680926	0
0.202214	3	58	0	3.92024e-10	826458	0
0.202214	3	59	0	3.30883e-10	697562	0
0.202214	3	60	0	3.9706e-10	837076	0
0.202214	4	21	0	5.22019e-10	1.10051e+06	0
0.202214	4	23	0	5.3745e-10	1.13304e+06	0
0.202214	4	24	0	5.91134e-10	1.24622e+06	0
0.202214	4	29	0	3.19629e-10	673837	0
0.202214	4	30	0	8.77685e-10	1.85032e+06	0
0.202214	5	11	0	5.12853e-10	1.08119e+06	0
0.202214	5	12	0	5.82023e-10	1.22701e+06	0
0.202214	5	18	0	5.21008e-10	1.09838e+06	0
0.202214	5	19	0	3.2846e-10	692455	0
0.202214	5	51	0	4.16281e-10	877596	0
0.202214	6	4	0	4.20253e-10	885972	0
0.202214	6	6	0	7.46519e-10	1.5738e+06	0
0.202214	6	41	0	6.74803e-06	1.42261e+10	0
0.202214	7	42	0	6.74803e-06	1.42261e+10	0
0.202214	7	44	0	6.74803e-06	1.42261e+10	0
0.202214	7	50	0	4.04439e-10	852633	0
0.202214	8	16	0	2.5019e-10	527447	0
0.202214	8	17	0	1.70243e-09	3.58904e+06	0
0.202214	8	43	0	6.74803e-06	1.42261e+10	0
0.202214	9	20	0	9.03617e-10	1.90499e+06	0
0.202214	10	36	0	5.11232e-10	1.07777e+06	0
0.202214	10	38	0	4.96228e-10	1.04614e+06	0
0.202214	10	45	0	6.74803e-06	1.42261e+10	0
0.202214	11	46	0	6.74803e-06	1.42261e+10	0
0.202214	11	57	0	7.2855e-10	1.53592e+06	0
0.202214	12	47	0	6.74803e-06	1.42261e+10	0
0.202214	13	22	0	2.70049e-10	569313	0
0.202214	13	48	0	6.74803e-06	1.42261e+10	0
0.203214	1	2	0	3.40716e-10	718291	0
0.203214	1	5	0	4.02738e-10	849045	0
0.203214	2	35	0	4.72457e-10	996027	0
0.203214	2	37	0	5.59428e-10	1.17938e+06	0
0.203214	2	39	0	3.6304e-10	765355	0
0.203214	3	1	0	4.61741e-10	973435	0
0.203214	3	3	0	3.82584e-10	806558	0
0.203214	3	7	0	3.80542e-10	802254	0
0.203214	3	8	0	6.55477e-10	1.38187e+06	0
0.203214	3	9	0	4.98243e-10	1.05039e+06	0
0.203214	3	10	0	2.9964e-10	631696	0
0.203214	3	13	0	3.70747e-10	781604	0
0.203214	3	14	0	4.05627e-10	855137	0
0.203214	3	15	0	4.34232e-10	915441	0
0.203214	3	25	0	2.99736e-10	631899	0
0.203214	3	26	0	3.2116e-10	677064	0
0.203214	3	27	0	3.24687e-10	684500	0
0.203214	3	28	0	3.96226e-10	835317	0
0.203214	3	31	0	4.14052e-10	872899	0
0.203214	3	32	0	4.35454e-10	918017	0
0.203214	3	33	0	3.37675e-10	711882	0
0.203214	3	34	0	3.57563e-10	753809	0
0.203214	3	40	0	2.73572e-10	576740	0
0.203214	3	49	0	4.76199e-10	1.00392e+06	0
0.203214	3	52	0	2.42851e-10	511976	0
0.203214	3	53	0	3.67792e-10	775374	0
0.203214	3	54	0	4.41691e-10	931166	0
0.203214	3	55	0	3.14927e-10	663924	0
0.203214	3	56	0	3.22314e-10	679498	0
0.203214	3	58	0	3.92306e-10	827053	0
0.203214	3	59	0	3.30694e-10	697165	0
0.203214	3	60	0	3.9706e-10	837076	0
0.203214	4	21	0	5.22456e-10	1.10143e+06	0
0.203214	4	23	0	5.38159e-10	1.13454e+06	0
0.203214	4	24	0	5.91134e-10	1.24622e+06	0
0.203214	4	29	0	3.19308e-10	673161	0
0.203214	4	30	0	8.80252e-10	1.85574e+06	0
0.203214	5	11	0	5.13305e-10	1.08214e+06	0
0.203214	5	12	0	5.82023e-10	1.22701e+06	0
0.203214	5	18	0	5.20721e-10	1.09778e+06	0
0.203214	5	19	0	3.28074e-10	691640	0
0.203214	5	51	0	4.16805e-10	878702	0
0.203214	6	4	0	4.18422e-10	882111	0
0.203214	6	6	0	7.47227e-10	1.57529e+06	0
0.203214	6	41	0	6.74803e-06	1.42261e+10	0
0.203214	7	42	0	6.74803e-06	1.42261e+10	0
0.203214	7	44	0	6.74803e-06	1.42261e+10	0
0.203214	7	50	0	4.03735e-10	851149	0
0.203214	8	16	0	2.48916e-10	524760	0
0.203214	8	17	0	1.70243e-09	3.58904e+06	0
0.203214	8	43	0	6.74803e-06	1.42261e+10	0
0.203214	9	20	0	9.03617e-10	1.90499e+06	0
0.203214	10	36	0	5.08533e-10	1.07208e+06	0
0.203214	10	38	0	4.97313e-10	1.04843e+06	0
0.203214	10	45	0	6.74803e-06	1.42261e+10	0
0.203214	11	46	0	6.74803e-06	1.42261e+10	0
0.203214	11	57	0	7.28548e-10	1.53591e+06	0
0.203214	12	47	0	6.74803e-06	1.42261e+10	0
0.203214	13	22	0	2.70077e-10	569372	0
0.203214	13	48	0	6.74803e-06	1.42261e+10	0
0.204214	1	2	0	3.40569e-10	717982	0
0.204214	1	5	0	4.03378e-10	850396	0
0.204214	2	35	0	4.73276e-10	997754	0
0.204214	2	37	0	5.59008e-10	1.17849e+06	0
0.204214	2	39	0	3.6224e-10	763669	0
0.204214	3	1	0	4.61741e-10	973435	0
0.204214	3	3	0	3.82888e-10	807198	0
0.204214	3	7	0	3.80542e-10	802254	0
0.204214	3	8	0	6.55859e-10	1.38267e+06	0
0.204214	3	9	0	4.98243e-10	1.05039e+06	0
0.204214	3	10	0	2.99221e-10	630813	0
0.204214	3	13	0	3.70747e-10	781604	0
0.204214	3	14	0	4.05627e-10	855137	0
0.204214	3	15	0	4.34232e-10	915441	0
0.204214	3	25	0	2.99317e-10	631017	0
0.204214	3	26	0	3.20694e-10	676082	0
0.204214	3	27	0	3.24103e-10	683269	0
0.204214	3	28	0	3.96255e-10	835378	0
